Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Brazil,2020-06-01,102.59995
Brazil,2020-06-02,103.00481
Brazil,2020-06-03,102.94435
Brazil,2020-06-04,111.511444
Brazil,2020-06-05,116.96879
Brazil,2020-06-06,120.03098
Brazil,2020-06-07,122.68154
Brazil,2020-06-08,118.47068
Brazil,2020-06-09,120.17091
Brazil,2020-06-10,122.92608
Brazil,2020-06-11,125.069214
Brazil,2020-06-12,127.97653
Brazil,2020-06-13,127.62807
Brazil,2020-06-14,124.33491
Brazil,2020-06-15,120.68649
Brazil,2020-06-16,119.462425
Brazil,2020-06-17,122.85408
Brazil,2020-06-18,124.77441
Brazil,2020-06-19,124.28193
Brazil,2020-06-20,119.08746
Brazil,2020-06-21,138.64328
Brazil,2020-06-22,147.44812
Brazil,2020-06-23,147.6852
Brazil,2020-06-24,148.21843
Brazil,2020-06-25,151.28741
Brazil,2020-06-26,158.445
Brazil,2020-06-27,169.80122
Brazil,2020-06-28,164.42743
Brazil,2020-06-29,167.1629
Brazil,2020-06-30,176.0051
Brazil,2020-07-01,177.7848
Brazil,2020-07-02,173.98763
Brazil,2020-07-03,176.69592
Brazil,2020-07-04,182.55269
Brazil,2020-07-05,179.40286
Brazil,2020-07-06,178.8798
Brazil,2020-07-07,175.874
Brazil,2020-07-08,173.2771
Brazil,2020-07-09,181.06099
Brazil,2020-07-10,179.60664
Brazil,2020-07-11,175.88011
Brazil,2020-07-12,177.79907
Brazil,2020-07-13,178.54628
Brazil,2020-07-14,177.71756
Brazil,2020-07-15,177.75629
Brazil,2020-07-16,175.41412
Brazil,2020-07-17,172.2575
Brazil,2020-07-18,174.14862
Brazil,2020-07-19,166.76416
Brazil,2020-07-20,159.63782
Brazil,2020-07-21,158.7534
Brazil,2020-07-22,158.7337
Brazil,2020-07-23,158.15698
Brazil,2020-07-24,177.13338
Brazil,2020-07-25,187.02235
Brazil,2020-07-26,201.77226
Brazil,2020-07-27,217.1342
Brazil,2020-07-28,217.84677
Brazil,2020-07-29,219.90295
Brazil,2020-07-30,219.77252
Brazil,2020-07-31,220.59717
Brazil,2020-08-01,219.15439
Brazil,2020-08-02,216.77147
Brazil,2020-08-03,212.8622
Brazil,2020-08-04,213.69228
