Entity,Day,Reproduction rate
Brazil,2020-04-23,1.5394
Brazil,2020-04-24,1.5347
Brazil,2020-04-25,1.5309
Brazil,2020-04-26,1.5228
Brazil,2020-04-27,1.5137
Brazil,2020-04-28,1.5034
Brazil,2020-04-29,1.4925
Brazil,2020-04-30,1.4828
Brazil,2020-05-01,1.4728
Brazil,2020-05-02,1.4652
Brazil,2020-05-03,1.4597
Brazil,2020-05-04,1.4537
Brazil,2020-05-05,1.4462
Brazil,2020-05-06,1.44
Brazil,2020-05-07,1.4319
Brazil,2020-05-08,1.4253
Brazil,2020-05-09,1.4171
Brazil,2020-05-10,1.4084
Brazil,2020-05-11,1.3999
Brazil,2020-05-12,1.3933
Brazil,2020-05-13,1.3895
Brazil,2020-05-14,1.3863
Brazil,2020-05-15,1.3836
Brazil,2020-05-16,1.3776
Brazil,2020-05-17,1.3713
Brazil,2020-05-18,1.3663
Brazil,2020-05-19,1.3589
Brazil,2020-05-20,1.3517
Brazil,2020-05-21,1.3418
Brazil,2020-05-22,1.3333
Brazil,2020-05-23,1.3238
Brazil,2020-05-24,1.3153
Brazil,2020-05-25,1.3057
Brazil,2020-05-26,1.2975
Brazil,2020-05-27,1.2919
Brazil,2020-05-28,1.2883
Brazil,2020-05-29,1.2821
Brazil,2020-05-30,1.2757
Brazil,2020-05-31,1.2656
Brazil,2020-06-01,1.2565
Brazil,2020-06-02,1.248
Brazil,2020-06-03,1.2387
Brazil,2020-06-04,1.2315
Brazil,2020-06-05,1.2232
Brazil,2020-06-06,1.2151
Brazil,2020-06-07,1.2083
Brazil,2020-06-08,1.2012
Brazil,2020-06-09,1.1951
Brazil,2020-06-10,1.1893
Brazil,2020-06-11,1.1839
Brazil,2020-06-12,1.1796
Brazil,2020-06-13,1.1791
Brazil,2020-06-14,1.1808
Brazil,2020-06-15,1.1821
Brazil,2020-06-16,1.1817
Brazil,2020-06-17,1.1807
Brazil,2020-06-18,1.1815
Brazil,2020-06-19,1.1851
Brazil,2020-06-20,1.1833
Brazil,2020-06-21,1.1751
Brazil,2020-06-22,1.1672
Brazil,2020-06-23,1.1586
Brazil,2020-06-24,1.151
Brazil,2020-06-25,1.1444
Brazil,2020-06-26,1.1378
Brazil,2020-06-27,1.1316
Brazil,2020-06-28,1.1253
Brazil,2020-06-29,1.1175
Brazil,2020-06-30,1.1103
Brazil,2020-07-01,1.1044
Brazil,2020-07-02,1.0987
Brazil,2020-07-03,1.0932
Brazil,2020-07-04,1.0886
Brazil,2020-07-05,1.0846
Brazil,2020-07-06,1.0801
Brazil,2020-07-07,1.076
Brazil,2020-07-08,1.0711
Brazil,2020-07-09,1.0674
Brazil,2020-07-10,1.0645
Brazil,2020-07-11,1.0627
Brazil,2020-07-12,1.0606
Brazil,2020-07-13,1.0579
Brazil,2020-07-14,1.056
Brazil,2020-07-15,1.0545
Brazil,2020-07-16,1.0545
Brazil,2020-07-17,1.0552
Brazil,2020-07-18,1.057
Brazil,2020-07-19,1.0616
Brazil,2020-07-20,1.0654
Brazil,2020-07-21,1.0698
Brazil,2020-07-22,1.0728
Brazil,2020-07-23,1.0715
Brazil,2020-07-24,1.0691
Brazil,2020-07-25,1.0655
Brazil,2020-07-26,1.0619
Brazil,2020-07-27,1.0586
Brazil,2020-07-28,1.0543
Brazil,2020-07-29,1.05
Brazil,2020-07-30,1.0453
Brazil,2020-07-31,1.0416
Brazil,2020-08-01,1.0365
Brazil,2020-08-02,1.0324
Brazil,2020-08-03,1.0288
Brazil,2020-08-04,1.0256
Brazil,2020-08-05,1.0222
Brazil,2020-08-06,1.0187
Brazil,2020-08-07,1.0154
Brazil,2020-08-08,1.0123
Brazil,2020-08-09,1.0095
Brazil,2020-08-10,1.0064
Brazil,2020-08-11,1.0035
Brazil,2020-08-12,0.9996
Brazil,2020-08-13,0.9957
Brazil,2020-08-14,0.9913
Brazil,2020-08-15,0.987
Brazil,2020-08-16,0.9829
Brazil,2020-08-17,0.9796
Brazil,2020-08-18,0.9771
Brazil,2020-08-19,0.9739
Brazil,2020-08-20,0.9718
Brazil,2020-08-21,0.9702
Brazil,2020-08-22,0.9713
Brazil,2020-08-23,0.9704
Brazil,2020-08-24,0.9695
Brazil,2020-08-25,0.9692
Brazil,2020-08-26,0.9675
Brazil,2020-08-27,0.9658
Brazil,2020-08-28,0.9654
Brazil,2020-08-29,0.9646
Brazil,2020-08-30,0.9635
Brazil,2020-08-31,0.9631
Brazil,2020-09-01,0.9585
Brazil,2020-09-02,0.9532
Brazil,2020-09-03,0.9482
Brazil,2020-09-04,0.9437
Brazil,2020-09-05,0.9399
Brazil,2020-09-06,0.936
Brazil,2020-09-07,0.9327
Brazil,2020-09-08,0.9323
Brazil,2020-09-09,0.9356
Brazil,2020-09-10,0.9387
Brazil,2020-09-11,0.9414
Brazil,2020-09-12,0.9425
Brazil,2020-09-13,0.9442
Brazil,2020-09-14,0.9452
Brazil,2020-09-15,0.9461
Brazil,2020-09-16,0.9473
Brazil,2020-09-17,0.9483
Brazil,2020-09-18,0.9494
Brazil,2020-09-19,0.9493
Brazil,2020-09-20,0.9489
Brazil,2020-09-21,0.948
Brazil,2020-09-22,0.9479
Brazil,2020-09-23,0.9465
Brazil,2020-09-24,0.946
Brazil,2020-09-25,0.9468
Brazil,2020-09-26,0.9476
Brazil,2020-09-27,0.9481
Brazil,2020-09-28,0.9493
Brazil,2020-09-29,0.9509
Brazil,2020-09-30,0.9518
Brazil,2020-10-01,0.9519
Brazil,2020-10-02,0.9513
Brazil,2020-10-03,0.9506
Brazil,2020-10-04,0.9502
Brazil,2020-10-05,0.9513
Brazil,2020-10-06,0.9498
Brazil,2020-10-07,0.9479
Brazil,2020-10-08,0.9469
Brazil,2020-10-09,0.9469
Brazil,2020-10-10,0.9479
Brazil,2020-10-11,0.9483
Brazil,2020-10-12,0.9488
Brazil,2020-10-13,0.9507
Brazil,2020-10-14,0.9563
Brazil,2020-10-15,0.9621
Brazil,2020-10-16,0.9657
Brazil,2020-10-17,0.9696
Brazil,2020-10-18,0.9729
Brazil,2020-10-19,0.9757
Brazil,2020-10-20,0.9792
Brazil,2020-10-21,0.9827
Brazil,2020-10-22,0.9865
Brazil,2020-10-23,0.9912
Brazil,2020-10-24,0.9939
Brazil,2020-10-25,0.9958
Brazil,2020-10-26,0.9977
Brazil,2020-10-27,0.9987
Brazil,2020-10-28,0.9983
Brazil,2020-10-29,0.9989
Brazil,2020-10-30,0.9995
Brazil,2020-10-31,1.0016
Brazil,2020-11-01,1.0055
Brazil,2020-11-02,1.0103
Brazil,2020-11-03,1.0165
Brazil,2020-11-04,1.0266
Brazil,2020-11-05,1.0369
Brazil,2020-11-06,1.0472
Brazil,2020-11-07,1.0587
Brazil,2020-11-08,1.0709
Brazil,2020-11-09,1.0832
